0,"""Partner plank band row""","""Strength""","""Abdominals""","""Bands""","""Intermediate"""
1,"""Banded crunch isometric hold""","""Strength""","""Abdominals""","""Bands""","""Intermediate"""
2,"""FYR Banded Plank Jack""","""Strength""","""Abdominals""","""Bands""","""Intermediate"""
3,"""Banded crunch""","""Strength""","""Abdominals""","""Bands""","""Intermediate"""
4,"""Crunch""","""Strength""","""Abdominals""","""Bands""","""Intermediate"""
5,"""Decline band press sit-up""","""Strength""","""Abdominals""","""Bands""","""Intermediate"""
6,"""FYR2 Banded Frog Pump""","""Strength""","""Abdominals""","""Bands""","""Intermediate"""
7,"""Band low-to-high twist""","""Strength""","""Abdominals""","""Bands""","""Intermediate"""
8,"""Barbell roll-out""","""Strength""","""Abdominals""","""Barbell""","""Intermediate"""
9,"""Barbell Ab Rollout - On Knees""","""Strength""","""Abdominals""","""Barbell""","""Intermediate"""
10,"""Decline bar press sit-up""","""Strength""","""Abdominals""","""Barbell""","""Intermediate"""
11,"""Bench barbell roll-out""","""Strength""","""Abdominals""","""Barbell""","""Beginner"""
12,"""Barbell Side Bend""","""Strength""","""Abdominals""","""Barbell""","""Beginner"""
13,"""Seated bar twist""","""Strength""","""Abdominals""","""Barbell""","""Intermediate"""
14,"""Single-arm landmine pull and press""","""Strength""","""Abdominals""","""Barbell""","""Intermediate"""
15,"""Barbell Ab Roll Out - Gethin Variation""","""Strength""","""Abdominals""","""Barbell""","""Intermediate"""
16,"""30 Barbell Floor Wiper""","""Strength""","""Abdominals""","""Barbell""","""Intermediate"""
17,"""30 Barbell Roll-Out""","""Strength""","""Abdominals""","""Barbell""","""Intermediate"""
18,"""Decline plate sit-up""","""Strength""","""Abdominals""","""Barbell""","""Intermediate"""
19,"""KV Barbell Hip Thrust""","""Strength""","""Abdominals""","""Barbell""","""Intermediate"""
20,"""Advanced Kettlebell Windmill""","""Strength""","""Abdominals""","""Kettlebells""","""Beginner"""
21,"""Kettlebell Windmill""","""Strength""","""Abdominals""","""Kettlebells""","""Intermediate"""
22,"""Kettlebell Pass Between The Legs""","""Strength""","""Abdominals""","""Kettlebells""","""Beginner"""
23,"""Kettlebell 3-point leg extension""","""Strength""","""Abdominals""","""Kettlebells""","""Intermediate"""
24,"""Double Kettlebell Swing""","""Strength""","""Abdominals""","""Kettlebells""","""Intermediate"""
25,"""Burpee over kettlebell""","""Strength""","""Abdominals""","""Kettlebells""","""Intermediate"""
26,"""Kettlebell toe-touch""","""Strength""","""Abdominals""","""Kettlebells""","""Intermediate"""
27,"""Kettlebell swing""","""Strength""","""Abdominals""","""Kettlebells""","""Intermediate"""
28,"""Two-way swing""","""Strength""","""Abdominals""","""Kettlebells""","""Intermediate"""
29,"""Kettlebell crab reach""","""Strength""","""Abdominals""","""Kettlebells""","""Intermediate"""
30,"""Taylor Single-Arm Kettlebell Swing""","""Strength""","""Abdominals""","""Kettlebells""","""Intermediate"""
31,"""Holman Kettlebell Up to Elbow Down""","""Strength""","""Abdominals""","""Kettlebells""","""Intermediate"""
32,"""FYR2 Double-Kettlebell Ski""","""Strength""","""Abdominals""","""Kettlebells""","""Intermediate"""
33,"""FYR2 Kettlebell Hike""","""Strength""","""Abdominals""","""Kettlebells""","""Intermediate"""
34,"""FYR2 Kettlebell Cross-Body Catch""","""Strength""","""Abdominals""","""Kettlebells""","""Intermediate"""
35,"""FYR2 Kettlebell Duck Walk""","""Strength""","""Abdominals""","""Kettlebells""","""Intermediate"""
36,"""FYR2 Kettlebell Get-Up Reach""","""Strength""","""Abdominals""","""Kettlebells""","""Intermediate"""
37,"""FYR2 Kettlebell Juggle""","""Strength""","""Abdominals""","""Kettlebells""","""Intermediate"""
38,"""FYR2 Squat-Clean-Alternating-Press Complex""","""Strength""","""Abdominals""","""Kettlebells""","""Intermediate"""
39,"""Dumbbell V-Sit Cross Jab""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
40,"""Dumbbell spell caster""","""Strength""","""Abdominals""","""Dumbbell""","""Beginner"""
41,"""Dumbbell side bend""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
42,"""Dumbbell crunch""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
43,"""Dumbbell Fix Dumbbell Sprawl""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
44,"""Dumbbell Fix Alternating Renegade Row""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
45,"""Dumbbell Fix Dumbbell Mountain Climber""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
46,"""Dumbbell Fix Dumbbell Russian Twist""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
47,"""Dumbbell Fix Dumbbell Pull-Over""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
48,"""Dumbbell Fix Dumbbell Sit-Up""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
49,"""Dumbbell Fix Dumbbell Front Squat""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
50,"""Dumbbell Fix Full Man Maker""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
51,"""Dumbbell T-hold""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
52,"""Dumbbell hollow-body floor press""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
53,"""Dumbbell crusher""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
54,"""Dumbbell Crunch - Gethin Variation""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
55,"""Single-arm dumbbell crunch""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
56,"""HM Alternating Dumbbell Plank Row""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
57,"""Dumbbell straight-legged hip raise""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
58,"""Seated leg tuck with dumbbell""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
59,"""Dumbbell V-sit cross jab-""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
60,"""30 Hanging Leg Raise With Dumbbell""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
61,"""Dumbbell Get-Up Sit-Up""","""Strength""","""Abdominals""","""Dumbbell""","""Expert"""
62,"""Holman Right Side Plank with Left Triceps Press""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
63,"""Holman Left Side Plank with Right Triceps Press""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
64,"""Holman Boat with Feet Push-Out and Overhead Press""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
65,"""Holman Hovering Plank Row""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
66,"""Holman Weighted Seated Killer Abs to Russian Twist""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
67,"""Holman Straight Plank Dumbbell Reach-Under""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
68,"""Holman Straight-Arm Side Plank Overhead Press to Chest Press""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
69,"""Holman Weighted Burpee to Pike""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
70,"""Holman Straight-Legged Boat Chest Press""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
71,"""Holman Weighted Burpee to Side Delt Raise""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
72,"""Holman Heavy Double Pike""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
73,"""Holman Heavy Double Split Pike""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
74,"""MetaBurn Alternating Dumbbell Sit-Through""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
75,"""MetaBurn Alternating Plank Row With Dumbbell Pull-Through""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
76,"""MetaBurn Alternating Plank Row With Push-Up""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
77,"""MetaBurn Dumbbell Russian Twist""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
78,"""MetaBurn Dumbbell Toe-Touch""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
79,"""MetaBurn Plank To Alternating Row""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
80,"""Standing dumbbell knee crunch-""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
81,"""MetaBurn Plank With Dumbbell Rotation""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
82,"""FYR2 Dumbbell Crab Reach""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
83,"""FYR2 Dumbbell Man-Maker""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
84,"""FYR2 Dumbbell Sit-Up Reach""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
85,"""FYR2 Loaded Beast Sprawl""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
86,"""FYR2 Loaded to Unloaded Beast""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
87,"""Lying Leg Pullover""","""Strength""","""Abdominals""","""Dumbbell""","""Intermediate"""
88,"""Landmine twist""","""Strength""","""Abdominals""","""Other""","""Intermediate"""
89,"""Suspended ab fall-out""","""Strength""","""Abdominals""","""Other""","""Intermediate"""
90,"""Decline reverse crunch""","""Strength""","""Abdominals""","""Other""","""Intermediate"""
91,"""Plate Twist""","""Strength""","""Abdominals""","""Other""","""Beginner"""
92,"""Weighted Crunches""","""Strength""","""Abdominals""","""Other""","""Intermediate"""
93,"""Ab Roller""","""Strength""","""Abdominals""","""Other""","""Intermediate"""
94,"""Otis-Up""","""Strength""","""Abdominals""","""Other""","""Intermediate"""
95,"""Captain's chair knee raise""","""Strength""","""Abdominals""","""Other""","""Intermediate"""
96,"""Sledgehammer swing""","""Plyometrics""","""Abdominals""","""Other""","""Intermediate"""
97,"""Decline bar press sit-up""","""Strength""","""Abdominals""","""Barbell""","""Intermediate"""
98,"""Pallof press""","""Strength""","""Abdominals""","""Other""","""Intermediate"""
99,"""Weighted Sit-Ups - With Bands""","""Strength""","""Abdominals""","""Other""","""Intermediate"""
100,"""Suitcase crunch""","""Strength""","""Abdominals""","""Other""","""Intermediate"""
101,"""FYR Rope Jumping""","""Strength""","""Abdominals""","""Other""","""Intermediate"""
102,"""Barbell press sit-up""","""Strength""","""Abdominals""","""Other""","""Intermediate"""
103,"""Single-arm bent-over rear delt fly""","""Strength""","""Abdominals""","""Other""","""Intermediate"""
104,"""Captain's chair leg raise""","""Strength""","""Abdominals""","""Other""","""Intermediate"""
105,"""Shoulder-Elevated One-Leg Hip Thrusts""","""Strength""","""Abdominals""","""Other""","""Intermediate"""
106,"""Ab Twist - Gethin Variation""","""Strength""","""Abdominals""","""Other""","""Intermediate"""
