Date,Workout Name,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes
2015-10-23 17:06:37,"Chest","Incline Bench Press (Barbell)",1,135,8,0,0,"",""
2015-10-23 17:06:37,"Chest","Incline Bench Press (Barbell)",2,135,8,0,0,"",""
2015-10-23 17:06:37,"Chest","Incline Bench Press (Barbell)",3,135,5,0,0,"",""
2015-10-23 17:06:37,"Chest","Incline Bench Press (Barbell)",4,185,7,0,0,"",""
2015-10-23 17:06:37,"Chest","Incline Bench Press (Barbell)",5,230,8,0,0,"",""
2015-10-23 17:06:37,"Chest","Incline Bench Press (Barbell)",6,230,8,0,0,"",""
2015-10-23 17:06:37,"Chest","Incline Bench Press (Barbell)",7,230,8,0,0,"",""
2015-10-23 17:06:37,"Chest","Weighted dips",1,220,8,0,0,"",""
2015-10-23 17:06:37,"Chest","Weighted dips",2,315,8,0,0,"",""
2015-10-23 17:06:37,"Chest","Weighted dips",3,315,8,0,0,"",""
2015-10-23 17:06:37,"Chest","Weighted dips",4,315,8,0,0,"",""
2015-10-23 17:06:37,"Chest","Incline Bench Press",1,135,8,0,0,"",""
2015-10-23 17:06:37,"Chest","Incline Bench Press",2,135,8,0,0,"",""
2015-10-23 17:06:37,"Chest","Incline Bench Press",3,135,5,0,0,"",""
2015-10-23 17:06:37,"Chest","Incline Bench Press",4,185,7,0,0,"",""
2015-10-23 17:06:37,"Chest","Incline Bench Press",5,230,8,0,0,"",""
2015-10-23 17:06:37,"Chest","Incline Bench Press",6,230,8,0,0,"",""
2015-10-23 17:06:37,"Chest","Incline Bench Press",7,230,8,0,0,"",""
2015-10-23 17:06:37,"Chest","Weighted dips",1,220,8,0,0,"",""
2015-10-23 17:06:37,"Chest","Weighted dips",2,315,8,0,0,"",""
2015-10-23 17:06:37,"Chest","Weighted dips",3,315,8,0,0,"",""
2015-10-23 17:06:37,"Chest","Weighted dips",4,315,8,0,0,"",""
2015-10-23 22:01:34,"Squat 1","Squat (Barbell)",1,135,8,0,0,"",""
2015-10-23 22:01:34,"Squat 1","Squat (Barbell)",2,185,5,0,0,"",""
2015-10-23 22:01:34,"Squat 1","Squat (Barbell)",3,225,7,0,0,"",""
2015-10-23 22:01:34,"Squat 1","Squat (Barbell)",4,275,5,0,0,"",""
2015-10-23 22:01:34,"Squat 1","Squat (Barbell)",5,315,5,0,0,"",""
2015-10-23 22:01:34,"Squat 1","Squat (Barbell)",6,315,6,0,0,"",""
2015-10-23 22:01:34,"Squat 1","Squat (Barbell)",7,315,8,0,0,"",""
2015-10-23 22:01:34,"Squat 1","Leg press (hinge )",1,430,10,0,0,"",""
2015-10-23 22:01:34,"Squat 1","Leg press (hinge )",2,430,10,0,0,"",""
2015-10-23 22:01:34,"Squat 1","Leg press (hinge )",3,430,10,0,0,"",""
2015-10-23 22:01:34,"Squat 1","Good Morning (Barbell)",1,115,8,0,0,"",""
2015-10-23 22:01:34,"Squat 1","Good Morning (Barbell)",2,115,8,0,0,"",""
